,Advert Date,City,Brand,Model,Motor,Year,Kilometres,Colors,Price
0,14 Ekim 2024,"Ankara
Keçiören",Fiat,Albea,1.3 Multijet,2004,300.000,Gri (Gümüş),249.800
1,14 Ekim 2024,"Artvin
Merkez",Renault,Megane,1.5 dCi,2009,269.000,Gri,430.000
2,14 Ekim 2024,"Yozgat
Akdağmadeni",Opel,Vectra,1.6 Essentia,2006,180.000,Lacivert,500.000
3,14 Ekim 2024,"İstanbul
Ümraniye",Mercedes,-,Benz E,2016,225.000,Gri (metalik),2.450.000
4,14 Ekim 2024,"Artvin
Merkez",Tofaş,Kartal,SLX  ,1994,123.456,Bordo,150.000
5,14 Ekim 2024,"Adana
Seyhan",Ford,Focus,1.5 TDCi,2017,189.000,Beyaz,855.000
6,14 Ekim 2024,"İzmir
Gaziemir",BMW,5,Serisi 525d,2016,204.000,Beyaz,1.315.000
7,14 Ekim 2024,"İstanbul
Ataşehir",Citroen,C4,1.4 SX,2011,184.000,Gri,445.000
8,14 Ekim 2024,"İstanbul
Ataşehir",Ford,Fiesta,1.25 My,2011,185.000,Siyah,480.000
9,14 Ekim 2024,"İstanbul
Ataşehir",BMW,5,Serisi 520d,2012,330.000,Gri,985.000
10,14 Ekim 2024,"Hatay
Dörtyol",Toyota,Corolla,1.6 Terra,2000,400.000,Beyaz,360.000
11,14 Ekim 2024,"İstanbul
Bağcılar",Peugeot,206,1.4 HDi,2003,411.000,Gri,220.000
12,14 Ekim 2024,"Eskişehir
Odunpazarı",Renault,Clio,1.0 TCe,2020,50.864,Gri,895.000
13,14 Ekim 2024,"Giresun
Espiye",Tofaş,Kartal,1.6 ie,2000,123.000,Bordo,345.000
14,14 Ekim 2024,"İstanbul
Pendik",Opel,Insignia,1.5 d,2020,87.500,Kahverengi,1.180.000
15,14 Ekim 2024,"Ankara
Etimesgut",Ford,Focus,1.6 TDCi,2008,159.000,Gri (metalik),550.000
16,14 Ekim 2024,"İzmir
Aliağa",Opel,Astra,1.6 CD,1999,209.000,Mavi (metalik),390.000
17,14 Ekim 2024,"Bursa
Osmangazi",Hyundai,i20,1.2 MPI,2016,134.400,Beyaz,675.500
18,14 Ekim 2024,"Muğla
Milas",Volkswagen,Jetta,1.6 TDi,2015,185.000,Beyaz,745.000
19,14 Ekim 2024,"Tekirdağ
Çorlu",Fiat,Punto,Grande 1.3,2009,199.500,Gri,350.000
20,14 Ekim 2024,"İstanbul
Şişli",Volkswagen,Passat,Variant 1.6,2015,78.325,Mavi,1.269.000
21,14 Ekim 2024,"Ankara
Gölbaşı",Renault,Clio,1.0 TCe,2022,46.500,Kırmızı,875.000
22,14 Ekim 2024,"Afyonkarahisar
Merkez",Opel,Astra,1.6 Essentia,2013,135.000,Gri (Gümüş),540.000
23,14 Ekim 2024,"Burdur
Merkez",Volkswagen,Polo,1.4 Trendline,2006,173.000,Gri,447.500
24,14 Ekim 2024,"İstanbul
Ümraniye",Mercedes,-,Benz E,2012,292.000,Kahverengi,1.500.000
25,14 Ekim 2024,"İstanbul
Ümraniye",MINI,Cooper,1.5 D,2017,98.000,Kırmızı,1.239.900
26,14 Ekim 2024,"Ankara
Yenimahalle",Hyundai,Accent,1.5 GL,2003,290.000,Lacivert,290.000
27,14 Ekim 2024,"Ankara
Çankaya",BMW,5,Serisi 520d,2010,321.150,Siyah,877.500
28,14 Ekim 2024,"İstanbul
Başakşehir",Audi,A3,Sedan 1.6,2016,166.000,Siyah,1.240.000
