,Advert Date,City,Brand,Model,Motor,Year,Kilometres,Colors,Price
0,11 Ekim 2024,"Bursa
Nilüfer",BMW,X3,20i sDrive,2014,187.000,Beyaz,1.349.000
1,11 Ekim 2024,"Edirne
Keşan",Honda,CR-V,1.6 i-DTEC,2013,221.000,Gri (metalik),945.000
2,11 Ekim 2024,"İstanbul
Bağcılar",Citroen,C3,Aircross 1.2,2021,102.000,Füme,1.095.000
3,10 Ekim 2024,"İzmir
Buca",Ssangyong,Kyron,2.0 L,2011,330.000,Beyaz,625.000
4,10 Ekim 2024,"Isparta
Merkez",Nissan,Qashqai,1.5 dCi,2013,100.000,Beyaz,895.000
5,10 Ekim 2024,"Isparta
Merkez",Opel,Crossland,X 1.2,2020,62.000,Siyah,980.000
6,10 Ekim 2024,"Ankara
Yenimahalle",Nissan,Qashqai,1.3 DIG-T,2022,25.500,Beyaz,1.665.000
7,10 Ekim 2024,"Hatay
Dörtyol",Nissan,Qashqai,1.5 e-Power,2023,34.000,Beyaz,1.750.000
8,10 Ekim 2024,"Tekirdağ
Çorlu",Porsche,Cayenne,S Diesel,2015,216.000,Beyaz,3.970.000
9,10 Ekim 2024,"Ankara
Çankaya",Hyundai,Tucson,1.6 CRDi,2020,37.000,Beyaz,1.710.000
10,10 Ekim 2024,"Konya
Karatay",Fiat,Egea,Cross 1.4,2022,88.000,Mavi (metalik),780.000
11,10 Ekim 2024,"Konya
Karatay",Volkswagen,Tiguan,2.0 TDI,2015,86.000,Beyaz,1.325.000
12,09 Ekim 2024,"Konya
Karatay",Skywell,ET5,Legend  ,2023,32.000,Mavi (metalik),1.490.000
13,09 Ekim 2024,"Konya
Karatay",Peugeot,408,Allure  ,2023,41.000,Gri,1.515.000
14,09 Ekim 2024,"İstanbul
Arnavutköy",Volkswagen,Tiguan,1.4 TSI,2010,172.000,Beyaz,749.000
15,09 Ekim 2024,"Rize
Merkez",Mitsubishi,L,200 4x2,2000,250.000,Füme,360.000
16,09 Ekim 2024,"Şanlıurfa
Karaköprü",Nissan,Qashqai,1.5 dCi,2017,147.000,Beyaz,860.000
